date,strain,male hold,population,time day,N,assort
03/14/13,All ral,10,2,am,57,34
03/21/13,All ral,10,1,am,18,9
03/21/13,All ral,10,1,pm,7,4
03/22/13,All ral,10,1,am,22,13
03/22/13,All ral,10,1,pm,20,5
09/05/13,All ral,10,1,am,77,36
09/12/13,All ral,10,2,am,22,10
09/19/13,All ral,10,1,am,79,46
03/14/13,Canton-S,10,2,am,1,1
03/21/13,Canton-S,10,1,am,3,2
03/21/13,Canton-S,10,1,pm,4,2
03/22/13,Canton-S,10,1,am,9,7
09/05/13,Canton-S,20,1,am,56,37
09/12/13,Canton-S,20,2,am,21,13
09/19/13,Canton-S,20,1,am,76,39
11/07/13,Canton-S,20,2,am,17,12
11/07/13,Canton-S,20,2,pm,31,19
11/14/13,Canton-S,20,1,am,45,23
11/14/13,Canton-S,20,1,pm,15,6
02/12/14,Canton-S,10,1,pm,66,38
,,,,,,
