date,genotype,male treatment,3-way mating pattern,population,plate #,order,male,female,mating pattern,"diet treatment of pair, F xM FOR DISASSORT",FEMALE DIET ,MALE DIET,binary,CL,CD
3/14/2013,All ral,10,4way,2,1,NA,R,R,assortative,CMY,CMY,CMY,1,12,4
3/14/2013,All ral,10,4way,2,1,NA,R,R,assortative,CMY,CMY,CMY,1,12,9
3/14/2013,All ral,10,4way,2,1,NA,R,R,assortative,CMY,CMY,CMY,1,16,8
3/14/2013,All ral,10,4way,2,1,NA,R,R,assortative,CMY,CMY,CMY,1,16,4
3/14/2013,All ral,10,4way,2,1,NA,R,R,assortative,CMY,CMY,CMY,1,16,4
3/14/2013,All ral,10,4way,2,1,NA,R,R,assortative,CMY,CMY,CMY,1,24,4
3/14/2013,All ral,10,4way,2,2,NA,R,R,assortative,CMY,CMY,CMY,1,27,15
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,21,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,52,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,22,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,14,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,43,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,8,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,24,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,25,NA
3/14/2013,All ral,10,4way,2,3,NA,R,R,assortative,CMY,CMY,CMY,1,14,NA
3/14/2013,All ral,10,4way,2,4,NA,R,R,assortative,CMY,CMY,CMY,1,12,NA
3/14/2013,All ral,10,4way,2,4,NA,R,R,assortative,CMY,CMY,CMY,1,23,4
3/14/2013,All ral,10,4way,2,4,NA,R,R,assortative,CMY,CMY,CMY,1,23,4
3/14/2013,All ral,10,4way,2,4,NA,R,R,assortative,CMY,CMY,CMY,1,32,4
3/21/2013,All ral,10,4way,1,1,11,L,L,assortative,CMY,CMY,CMY,1,13,NA
3/21/2013,All ral,10,4way,1,1,17,L,L,assortative,CMY,CMY,CMY,1,21,NA
3/21/2013,All ral,10,4way,1,3,3,L,L,assortative,CMY,CMY,CMY,1,10,NA
3/21/2013,All ral,10,4way,1,3,7,L,L,assortative,CMY,CMY,CMY,1,26,NA
3/21/2013,All ral,10,4way,1,3,9,L,L,assortative,CMY,CMY,CMY,1,37,NA
3/22/2013,All ral,10,4way,1,1,4,L,L,assortative,CMY,CMY,CMY,1,7,NA
3/22/2013,All ral,10,4way,1,1,6,L,L,assortative,CMY,CMY,CMY,1,8,NA
3/22/2013,All ral,10,4way,1,1,7,L,L,assortative,CMY,CMY,CMY,1,9,NA
3/22/2013,All ral,10,4way,1,1,8,L,L,assortative,CMY,CMY,CMY,1,9,NA
3/22/2013,All ral,10,4way,1,1,11,L,L,assortative,CMY,CMY,CMY,1,12,NA
3/22/2013,All ral,10,4way,1,1,16,L,L,assortative,CMY,CMY,CMY,1,18,NA
3/22/2013,All ral,10,4way,1,1,17,L,L,assortative,CMY,CMY,CMY,1,19,NA
3/22/2013,All ral,10,4way,1,1,22,L,L,assortative,CMY,CMY,CMY,1,27,NA
3/22/2013,All ral,10,4way,1,3,2,L,L,assortative,CMY,CMY,CMY,1,8,NA
3/22/2013,All ral,10,4way,1,3,8,L,L,assortative,CMY,CMY,CMY,1,15,NA
3/22/2013,All ral,10,4way,1,3,19,L,L,assortative,CMY,CMY,CMY,1,46,NA
9/5/2013,All ral,10,4way,1,1,6,R,R,assortative,CMY,CMY,CMY,1,9.3,23.4
9/5/2013,All ral,10,4way,1,1,8,R,R,assortative,CMY,CMY,CMY,1,11.1,21.3
9/5/2013,All ral,10,4way,1,1,13,R,R,assortative,CMY,CMY,CMY,1,16.8,18.7
9/5/2013,All ral,10,4way,1,1,15,R,R,assortative,CMY,CMY,CMY,1,21.1,28.2
9/5/2013,All ral,10,4way,1,2,5,R,R,assortative,CMY,CMY,CMY,1,5,18
9/5/2013,All ral,10,4way,1,2,7,R,R,assortative,CMY,CMY,CMY,1,8,24
9/5/2013,All ral,10,4way,1,2,15,R,R,assortative,CMY,CMY,CMY,1,23,21
9/5/2013,All ral,10,4way,1,2,17,R,R,assortative,CMY,CMY,CMY,1,29,18
9/5/2013,All ral,10,4way,1,3,16,R,R,assortative,CMY,CMY,CMY,1,38,19
9/5/2013,All ral,10,4way,1,3,20,R,R,assortative,CMY,CMY,CMY,1,53,23
