Date,Genotype,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Wing clipping pattern was matched within treatment or mismatched,Plate # within a batch,"Three-way mating pattern (FC = female CMY chooser, MS = male starch chooser, etc).",Assay start time,AM or PM?,Order,well possition,Copulation initiation time,Copulation end time,Male wing clip,Female wing clip,Mating pattern,Male diet treatment,Female diet treatment,Type of mating pattern,Binary assortative/disassortative,Loder,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,1,NA,9:16,9:30,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:07:00,0:14:00,7,14
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,5,NA,9:20,9:37,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:11:00,0:17:00,11,17
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,6,NA,9:21,9:40,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:12:00,0:19:00,12,19
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,7,NA,9:21,9:40,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:12:00,0:19:00,12,19
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,8,NA,9:21,9:40,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:12:00,0:19:00,12,19
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,10,NA,9:23,9:46,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:14:00,0:23:00,14,23
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,11,NA,9:24,9:49,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:15:00,0:25:00,15,25
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,12,NA,9:26,9:50,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:17:00,0:24:00,17,24
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,15,NA,9:32,9:52,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:23:00,0:20:00,23,20
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,16,NA,9:34,9:58,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:25:00,0:24:00,25,24
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,17,NA,9:37,10:00,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:28:00,0:23:00,28,23
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,19,NA,9:48,10:12,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:39:00,0:24:00,39,24
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,20,NA,9:49,10:13,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:40:00,0:24:00,40,24
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,21,NA,9:49,10:10,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:40:00,0:21:00,40,21
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,23,NA,10:07,10:31,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:58:00,0:24:00,58,24
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,3,NA,9:30,9:47,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:12:00,0:17:00,12,17
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,6,NA,9:33,9:58,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:15:00,0:25:00,15,25
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,7,NA,9:33,9:52,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:15:00,0:19:00,15,19
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,8,NA,9:37,9:53,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:19:00,0:16:00,19,16
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,9,NA,9:38,9:57,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:20:00,0:19:00,20,19
