date,genotype,Number of males held together before assay,Wing clipping pattern was matched within treatment or mismatched,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Plate # within a batch,Assay start time,AM or PM?,Order of mating within a plate,Well position,Copulation initiation time (first pair to mate),Copulation end time (first pair to mate),Male wing clip  (first pair to mate),Female wing clip (first pair to mate),Mating pattern (first pair to mate),Treatment of first female to mate,Treatment of first male to mate,"Diet treatment of first mating pair, (female x male)",Binary: assortative or no?,Loader,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,B6,10:39:00,10:43:00,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Mike,0:12:00,12.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,D4,10:39:00,10:48:00,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Mike,0:12:00,12.00,0:09:00,9.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,B1,10:43:00,10:51:00,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Mike,0:16:00,16.00,0:08:00,8.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,C1,10:43:00,10:47:00,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Mike,0:16:00,16.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,D5,10:43:00,10:47:00,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Mike,0:16:00,16.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,B6,10:51:00,10:55:00,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Mike,0:24:00,24.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,B5,11:01:00,11:16:00,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Ali,0:27:00,27.00,0:15:00,15.00
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,A2,11:03:00,NA,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Veronica,0:21:00,21.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,A4,11:34:00,NA,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Veronica,0:52:00,52.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,B4,11:04:00,NA,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Veronica,0:22:00,22.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,B5,10:56:00,NA,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Veronica,0:14:00,14.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,B6,11:25:00,NA,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Veronica,0:43:00,43.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,C1,10:50:00,NA,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Veronica,0:08:00,8.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,C6,11:06:00,NA,R,R,assortative,CMY,CMY,CMY,1,NA,NA,Veronica,0:24:00,24.00,#VALUE!,#VALUE!
